conversation_id,patient_message,doctor_response,intent,sentiment,summary,key_points
76,Are there any weekend slots available for a general consultation?,"You know what, I remember you from your last visit! Let's find a perfect time that works for you.",request_appointment,friendly,Patient requested a future consultation. Communication was warm and personable.,"there, weekend, slots, available, general"
77,The prescription you sent was out of stock at my pharmacy with no alternatives.,I understand your concern. Let me look into this matter for you.,complaint,neutral,Patient reported dissatisfaction or issues. Communication was matter-of-fact.,"prescription, stock, pharmacy, alternatives."
78,The receptionist was very rude when I called to reschedule.,This is a serious failure on our part. I'm deeply troubled by what you've experienced.,complaint,negative,Patient reported dissatisfaction or issues. Communication expressed concerns or dissatisfaction.,"receptionist, called, reschedule."
79,I have severe diarrhea and vomiting since last night - can't keep anything down.,These symptoms need immediate investigation. I'm going to expedite some tests right away.,discuss_symptoms,urgent,Patient described current health symptoms. Communication emphasized immediate action needed.,"severe, diarrhea, vomiting, since, night"
80,The prescription you sent was out of stock at my pharmacy with no alternatives.,This requires immediate attention. I'm escalating this to our director right now.,complaint,urgent,Patient reported dissatisfaction or issues. Communication emphasized immediate action needed.,"prescription, stock, pharmacy, alternatives."
81,I'd prefer a telehealth visit if available - when's the next opening?,I'm a bit worried about waiting too long for this appointment. Let me see what I can do to expedite it.,request_appointment,concerned,Patient requested a future consultation. Communication expressed worry or caution.,"prefer, telehealth, visit, available, when's"
82,Can you prescribe something stronger for my chronic back pain?,I'm a bit worried about these side effects you're mentioning. Let's discuss alternatives to this medication.,ask_prescription,concerned,Patient asked for medication renewal or advice. Communication expressed worry or caution.,"prescribe, something, stronger, chronic, pain?"
83,Which hospital are you affiliated with for emergencies?,I'm worried you might have trouble with parking during construction - let me suggest some alternatives.,general_questions,concerned,Patient asked general information about services. Communication expressed worry or caution.,"Which, hospital, affiliated, emergencies?"
84,My blood sugar levels have stabilized - do I still need the same dosage?,"Given what you're describing, I need you to come in immediately for reassessment.",follow_up,urgent,Patient followed up regarding previous consultation. Communication emphasized immediate action needed.,"blood, sugar, levels, stabilized, still"
85,I've been tracking my blood pressure as instructed - should I continue the meds?,"You know, I've been thinking about your case - sounds like you're really making progress!",follow_up,friendly,Patient followed up regarding previous consultation. Communication was warm and personable.,"tracking, blood, pressure, instructed, should"
86,I've been tracking my blood pressure as instructed - should I continue the meds?,The post-procedure assessment indicates satisfactory healing with no contraindications for resuming normal activity.,follow_up,formal,Patient followed up regarding previous consultation. Communication was professional and technical.,"tracking, blood, pressure, instructed, should"
87,I've had a persistent headache for three days now with blurred vision.,I'm sorry you've been dealing with this discomfort. We should have caught this during your last visit.,discuss_symptoms,apologetic,Patient described current health symptoms. Communication included regret or apologies.,"persistent, headache, three, blurred, vision."
88,My child needs a sports physical - do you have pediatric appointments tomorrow?,I'd be happy to schedule that for you! We have some excellent time slots available.,request_appointment,positive,Patient requested a future consultation. Communication had an optimistic tone.,"child, needs, sports, physical, pediatric"
89,"My joints are swollen and painful, especially in the mornings.",I understand this must be worrying. How long exactly have you been experiencing these symptoms?,discuss_symptoms,neutral,Patient described current health symptoms. Communication was matter-of-fact.,"joints, swollen, painful,, especially, mornings."
90,The biopsy results came back - can we discuss them at my next visit?,These test results raise some concerns for me. Let's take a closer look at what's happening.,follow_up,concerned,Patient followed up regarding previous consultation. Communication expressed worry or caution.,"biopsy, results, discuss, visit?"
91,I'm having bad side effects from the new medication - can we switch?,I'm a bit worried about these side effects you're mentioning. Let's discuss alternatives to this medication.,ask_prescription,concerned,Patient asked for medication renewal or advice. Communication expressed worry or caution.,"having, effects, medication, switch?"
92,What's your policy on late cancellations?,I regret to inform you that we no longer accept that insurance plan as of last month.,general_questions,negative,Patient asked general information about services. Communication expressed concerns or dissatisfaction.,"What's, policy, cancellations?"
93,Can I book a follow-up with Dr. Smith for my post-op check?,Great news! We have several convenient openings that should work perfectly for your schedule.,request_appointment,positive,Patient requested a future consultation. Communication had an optimistic tone.,"follow-up, Smith, post-op, check?"
94,Can you prescribe something stronger for my chronic back pain?,I'm a bit worried about these side effects you're mentioning. Let's discuss alternatives to this medication.,ask_prescription,concerned,Patient asked for medication renewal or advice. Communication expressed worry or caution.,"prescribe, something, stronger, chronic, pain?"
95,My test results were supposed to be ready yesterday but still aren't available.,I'm deeply troubled by what you experienced. This isn't the care standard we aim to provide.,complaint,concerned,Patient reported dissatisfaction or issues. Communication expressed worry or caution.,"results, supposed, ready, yesterday, still"
96,The prescription you sent was out of stock at my pharmacy with no alternatives.,"I'm totally with you on this one - that experience wasn't okay, and we can do better!",complaint,friendly,Patient reported dissatisfaction or issues. Communication was warm and personable.,"prescription, stock, pharmacy, alternatives."
97,The receptionist was very rude when I called to reschedule.,Oh no! That definitely wasn't supposed to happen! Let me help make this right for you.,complaint,friendly,Patient reported dissatisfaction or issues. Communication was warm and personable.,"receptionist, called, reschedule."
98,What are your clinic hours on holidays?,"You know what, parking is actually free on weekends - a little bonus for our Saturday patients!",general_questions,friendly,Patient asked general information about services. Communication was warm and personable.,"clinic, hours, holidays?"
99,It's been 2 weeks since my surgery - when should I come for a wound check?,Glad you're following up. How have your symptoms progressed since we last spoke?,follow_up,neutral,Patient followed up regarding previous consultation. Communication was matter-of-fact.,"weeks, since, surgery, should, wound"
100,The rash has spread despite using the prescribed cream - what now?,"Upon review of your follow-up data, clinical parameters suggest modification of the treatment protocol.",follow_up,formal,Patient followed up regarding previous consultation. Communication was professional and technical.,"spread, despite, using, prescribed, cream"
101,Your online portal isn't working and I can't access my medical records.,I understand your concern. Let me look into this matter for you.,complaint,neutral,Patient reported dissatisfaction or issues. Communication was matter-of-fact.,"online, portal, isn't, working, can't"
102,The physical therapy exercises caused more pain - is this normal?,"Upon review of your follow-up data, clinical parameters suggest modification of the treatment protocol.",follow_up,formal,Patient followed up regarding previous consultation. Communication was professional and technical.,"physical, therapy, exercises, caused, normal?"
103,Do you accept my new insurance plan?,We accept most major insurance plans. May I have your member ID to verify?,general_questions,neutral,Patient asked general information about services. Communication was matter-of-fact.,"accept, insurance, plan?"
104,There's sharp pain in my lower right abdomen that comes and goes.,"You know, I had another patient with similar issues last week - don't worry, we'll get to the bottom of this!",discuss_symptoms,friendly,Patient described current health symptoms. Communication was warm and personable.,"There's, sharp, lower, right, abdomen"
105,I'm traveling abroad and need a 3-month supply of my blood thinners.,I'm pleased to renew this prescription for you. The treatment seems to be working very well.,ask_prescription,positive,Patient asked for medication renewal or advice. Communication had an optimistic tone.,"traveling, abroad, 3-month, supply, blood"
106,How do I get a copy of my medical records transferred to another provider?,"Our regular hours are 8am-6pm weekdays, with urgent care until 8pm.",general_questions,neutral,Patient asked general information about services. Communication was matter-of-fact.,"medical, records, transferred, another, provider?"
107,Could I get an appointment with the cardiology department?,I'm putting you down for our emergency slot at 3pm today. Please arrive 15 minutes early.,request_appointment,urgent,Patient requested a future consultation. Communication emphasized immediate action needed.,"Could, appointment, cardiology, department?"
108,My insulin prescription is running low - can you send a refill to CVS?,"Great news! Your lab results look excellent, so I'm happy to continue your current medication.",ask_prescription,positive,Patient asked for medication renewal or advice. Communication had an optimistic tone.,"insulin, prescription, running, refill"
109,My blood sugar levels have stabilized - do I still need the same dosage?,Glad you're following up. How have your symptoms progressed since we last spoke?,follow_up,neutral,Patient followed up regarding previous consultation. Communication was matter-of-fact.,"blood, sugar, levels, stabilized, still"
110,The nurse didn't return my urgent call about medication side effects.,I am so sorry this happened to you. There's no excuse for this kind of treatment.,complaint,apologetic,Patient reported dissatisfaction or issues. Communication included regret or apologies.,"nurse, didn't, return, urgent, about"
111,I completed the treatment but still feel fatigued - what next?,These test results raise some concerns for me. Let's take a closer look at what's happening.,follow_up,concerned,Patient followed up regarding previous consultation. Communication expressed worry or caution.,"completed, treatment, still, fatigued, next?"
112,The antidepressant dosage doesn't seem effective anymore - can we adjust?,I apologize for the confusion with your prescription. Let me fix this right away.,ask_prescription,apologetic,Patient asked for medication renewal or advice. Communication included regret or apologies.,"antidepressant, dosage, doesn't, effective, anymore"
113,There's a strange numbness in my left arm that won't go away.,These symptoms are concerning and require immediate attention. I'm not satisfied with what I'm hearing.,discuss_symptoms,negative,Patient described current health symptoms. Communication expressed concerns or dissatisfaction.,"There's, strange, numbness, won't, away."
114,What COVID safety measures are you currently following?,Insurance verification protocols require submission of credentials 48 hours prior to scheduled appointments.,general_questions,formal,Patient asked general information about services. Communication was professional and technical.,"COVID, safety, measures, currently, following?"
115,I've had a persistent headache for three days now with blurred vision.,I'm sorry you've been dealing with this discomfort. We should have caught this during your last visit.,discuss_symptoms,apologetic,Patient described current health symptoms. Communication included regret or apologies.,"persistent, headache, three, blurred, vision."
116,What are your clinic hours on holidays?,I'm sorry about the confusion regarding our policies. We need to communicate these better.,general_questions,apologetic,Patient asked general information about services. Communication included regret or apologies.,"clinic, hours, holidays?"
117,What are your clinic hours on holidays?,Insurance verification protocols require submission of credentials 48 hours prior to scheduled appointments.,general_questions,formal,Patient asked general information about services. Communication was professional and technical.,"clinic, hours, holidays?"
118,There's sharp pain in my lower right abdomen that comes and goes.,"You know, I had another patient with similar issues last week - don't worry, we'll get to the bottom of this!",discuss_symptoms,friendly,Patient described current health symptoms. Communication was warm and personable.,"There's, sharp, lower, right, abdomen"
119,My insulin prescription is running low - can you send a refill to CVS?,"Great news! Your lab results look excellent, so I'm happy to continue your current medication.",ask_prescription,positive,Patient asked for medication renewal or advice. Communication had an optimistic tone.,"insulin, prescription, running, refill"
120,I completed the treatment but still feel fatigued - what next?,These follow-up symptoms require urgent attention. Can you come to the office today?,follow_up,urgent,Patient followed up regarding previous consultation. Communication emphasized immediate action needed.,"completed, treatment, still, fatigued, next?"
121,Where can I park when coming for my appointment?,Insurance verification protocols require submission of credentials 48 hours prior to scheduled appointments.,general_questions,formal,Patient asked general information about services. Communication was professional and technical.,"Where, coming, appointment?"
122,There's a strange numbness in my left arm that won't go away.,I'm genuinely concerned about what you're experiencing. Let's take these symptoms very seriously.,discuss_symptoms,concerned,Patient described current health symptoms. Communication expressed worry or caution.,"There's, strange, numbness, won't, away."
123,I'm traveling abroad and need a 3-month supply of my blood thinners.,I'm pleased to renew this prescription for you. The treatment seems to be working very well.,ask_prescription,positive,Patient asked for medication renewal or advice. Communication had an optimistic tone.,"traveling, abroad, 3-month, supply, blood"
124,My blood sugar levels have stabilized - do I still need the same dosage?,I apologize that you're still experiencing these symptoms. We should have addressed this differently.,follow_up,apologetic,Patient followed up regarding previous consultation. Communication included regret or apologies.,"blood, sugar, levels, stabilized, still"
125,Can I book a follow-up with Dr. Smith for my post-op check?,"Upon reviewing the physician's calendar, there is availability on Thursday at 2:15pm or Friday at 10:30am.",request_appointment,formal,Patient requested a future consultation. Communication was professional and technical.,"follow-up, Smith, post-op, check?"
126,The receptionist was very rude when I called to reschedule.,Your grievance has been documented and will be addressed according to our patient resolution protocol.,complaint,formal,Patient reported dissatisfaction or issues. Communication was professional and technical.,"receptionist, called, reschedule."
127,Your online portal isn't working and I can't access my medical records.,I'm deeply troubled by what you experienced. This isn't the care standard we aim to provide.,complaint,concerned,Patient reported dissatisfaction or issues. Communication expressed worry or caution.,"online, portal, isn't, working, can't"
128,I'm experiencing shortness of breath even with minimal activity.,"According to clinical guidelines, these symptoms necessitate a comprehensive examination and possibly diagnostic imaging.",discuss_symptoms,formal,Patient described current health symptoms. Communication was professional and technical.,"experiencing, shortness, breath, minimal, activity."
129,Can you prescribe something stronger for my chronic back pain?,"Great news! Your lab results look excellent, so I'm happy to continue your current medication.",ask_prescription,positive,Patient asked for medication renewal or advice. Communication had an optimistic tone.,"prescribe, something, stronger, chronic, pain?"
